   step	 WHOLE	 ONE	 TWO	 THREE
    0	  0.0	  0.0	  0.0	  0.0
    1	  0.0	  0.0	  0.0	  0.0
    2	  0.0	  0.0	  0.0	  0.0
    3	  0.0	  0.0	  0.0	  0.0
    4	  0.0	  0.0	  0.0	  0.0
    5	  0.0	  0.0	  0.0	  0.0
    6	  0.0	  0.0	  0.0	  0.0
    7	  0.0	  0.0	  0.0	  0.0
    8	  0.0	  0.0	  0.0	  0.0
    9	  0.0	  0.0	  0.0	  0.0
   10	  0.0	  0.0	  0.0	  0.0
   11	  0.0	  0.0	  0.0	  0.0
   12	  0.0	  0.0	  0.0	  0.0
   13	  0.0	  0.1	  0.0	  0.1
   14	  0.1	  0.1	  0.1	  0.1
   15	  0.1	  0.1	  0.1	  0.1
   16	  0.1	  0.1	  0.1	  0.1
   17	  0.1	  0.1	  0.1	  0.1
   18	  0.1	  0.1	  0.1	  0.1
   19	  0.1	  0.1	  0.1	  0.1
   20	  0.1	  0.1	  0.1	  0.1
   21	  0.1	  0.1	  0.1	  0.1
   22	  0.2	  0.2	  0.2	  0.2
   23	  0.2	  0.2	  0.2	  0.2
   24	  0.2	  0.2	  0.2	  0.2
   25	  0.2	  0.2	  0.2	  0.2
   26	  0.2	  0.2	  0.2	  0.2
   27	  0.2	  0.2	  0.2	  0.2
   28	  0.3	  0.3	  0.3	  0.3
   29	  0.3	  0.3	  0.3	  0.3
   30	  0.3	  0.3	  0.3	  0.3
   31	  0.3	  0.3	  0.3	  0.3
   32	  0.3	  0.3	  0.3	  0.3
   33	  0.4	  0.4	  0.4	  0.4
   34	  0.4	  0.4	  0.4	  0.4
   35	  0.4	  0.4	  0.4	  0.4
   36	  0.4	  0.4	  0.4	  0.4
   37	  0.5	  0.5	  0.4	  0.4
   38	  0.5	  0.5	  0.5	  0.5
   39	  0.5	  0.5	  0.5	  0.5
   40	  0.5	  0.5	  0.5	  0.5
   41	  0.6	  0.6	  0.5	  0.6
   42	  0.6	  0.6	  0.6	  0.6
   43	  0.6	  0.6	  0.6	  0.6
   44	  0.6	  0.6	  0.6	  0.6
   45	  0.7	  0.7	  0.6	  0.7
   46	  0.7	  0.7	  0.7	  0.7
   47	  0.7	  0.7	  0.7	  0.7
   48	  0.8	  0.8	  0.7	  0.7
   49	  0.8	  0.8	  0.8	  0.8
   50	  0.8	  0.8	  0.8	  0.8
   51	  0.9	  0.9	  0.9	  0.8
   52	  0.9	  0.9	  0.9	  0.9
   53	  1.0	  0.9	  0.9	  0.9
   54	  1.0	  1.0	  1.0	  0.9
   55	  1.0	  1.0	  1.0	  1.0
   56	  1.1	  1.0	  1.0	  1.0
   57	  1.1	  1.1	  1.1	  1.1
   58	  1.1	  1.1	  1.1	  1.1
   59	  1.2	  1.2	  1.1	  1.1
