   step	 time	 cost	distance
    0	  0.0	  0.0	  0.0
    1	  0.0	  0.0	  0.0
    2	  0.0	  0.0	  0.0
    3	  0.0	  0.0	  0.0
    4	  0.0	  0.0	  0.0
    5	  0.0	  0.0	  0.0
    6	  0.0	  0.0	  0.0
    7	  0.0	  0.0	  0.0
    8	  0.0	  0.0	  0.0
    9	  0.0	  0.0	  0.0
   10	  0.0	  0.0	  0.0
   11	  0.0	  0.0	  0.0
   12	  0.0	  0.1	  0.0
   13	  0.1	  0.1	  0.0
   14	  0.1	  0.1	  0.0
   15	  0.1	  0.1	  0.0
   16	  0.1	  0.1	  0.0
   17	  0.1	  0.1	  0.0
   18	  0.1	  0.1	  0.0
   19	  0.1	  0.2	  0.0
   20	  0.1	  0.2	  0.0
   21	  0.1	  0.2	  0.0
   22	  0.2	  0.2	  0.1
   23	  0.2	  0.2	  0.1
   24	  0.2	  0.3	  0.1
   25	  0.2	  0.3	  0.1
   26	  0.2	  0.3	  0.1
   27	  0.2	  0.4	  0.1
   28	  0.2	  0.4	  0.1
   29	  0.3	  0.4	  0.2
   30	  0.3	  0.5	  0.2
   31	  0.3	  0.5	  0.2
   32	  0.3	  0.5	  0.2
   33	  0.3	  0.6	  0.2
   34	  0.3	  0.6	  0.2
   35	  0.4	  0.6	  0.3
   36	  0.4	  0.7	  0.3
   37	  0.4	  0.7	  0.3
   38	  0.4	  0.8	  0.3
   39	  0.4	  0.8	  0.4
   40	  0.5	  0.8	  0.4
   41	  0.5	  0.9	  0.4
   42	  0.5	  0.9	  0.4
   43	  0.5	  0.9	  0.5
   44	  0.6	  1.0	  0.5
   45	  0.6	  1.0	  0.5
   46	  0.6	  1.0	  0.5
   47	  0.6	  1.1	  0.6
   48	  0.7	  1.1	  0.6
   49	  0.7	  1.2	  0.6
   50	  0.7	  1.2	  0.7
   51	  0.8	  1.2	  0.7
   52	  0.8	  1.3	  0.7
   53	  0.8	  1.3	  0.8
   54	  0.9	  1.4	  0.8
   55	  0.9	  1.4	  0.8
   56	  1.0	  1.4	  0.9
   57	  1.0	  1.5	  0.9
   58	  1.0	  1.5	  1.0
   59	  1.1	  1.6	  1.0
   60	  1.1	  1.6	  1.0
   61	  1.1	  1.6	  1.1
   62	  1.2	  1.7	  1.1
   63	  1.2	  1.7	  1.2
   64	  1.3	  1.8	  1.2
   65	  1.3	  1.8	  1.2
   66	  1.4	  1.9	  1.3
   67	  1.4	  1.9	  1.3
   68	  1.4	  2.0	  1.4
   69	  1.5	  2.0	  1.4
   70	  1.5	  2.1	  1.4
   71	  1.6	  2.1	  1.5
   72	  1.6	  2.2	  1.5
   73	  1.7	  2.2	  1.6
   74	  1.7	  2.3	  1.6
   75	  1.8	  2.3	  1.7
   76	  1.8	  2.4	  1.7
   77	  1.9	  2.4	  1.8
   78	  1.9	  2.5	  1.8
   79	  2.0	  2.6	  1.9
   80	  2.0	  2.6	  1.9
   81	  2.1	  2.7	  2.0
   82	  2.1	  2.7	  2.0
   83	  2.2	  2.8	  2.1
   84	  2.2	  2.9	  2.1
   85	  2.3	  2.9	  2.2
   86	  2.3	  3.0	  2.2
   87	  2.4	  3.1	  2.3
   88	  2.4	  3.2	  2.3
   89	  2.5	  3.2	  2.4
   90	  2.6	  3.3	  2.4
   91	  2.6	  3.4	  2.5
   92	  2.7	  3.5	  2.5
   93	  2.7	  3.5	  2.6
   94	  2.8	  3.6	  2.6
   95	  2.9	  3.7	  2.7
   96	  2.9	  3.8	  2.7
   97	  3.0	  3.9	  2.8
   98	  3.0	  4.0	  2.8
   99	  3.1	  4.1	  2.9
  100	  3.2	  4.2	  2.9
  101	  3.2	  4.2	  3.0
  102	  3.3	  4.3	  3.0
  103	  3.4	  4.4	  3.1
  104	  3.4	  4.5	  3.2
  105	  3.5	  4.6	  3.2
  106	  3.5	  4.7	  3.3
  107	  3.6	  4.8	  3.3
  108	  3.7	  4.9	  3.4
  109	  3.7	  5.0	  3.5
  110	  3.8	  5.1	  3.5
  111	  3.9	  5.2	  3.6
  112	  4.0	  5.3	  3.7
  113	  4.0	  5.4	  3.7
  114	  4.1	  5.5	  3.8
  115	  4.2	  5.6	  3.9
  116	  4.3	  5.6	  3.9
  117	  4.3	  5.7	  4.0
  118	  4.4	  5.8	  4.1
  119	  4.5	  5.9	  4.2
  120	  4.6	  6.0	  4.2
  121	  4.6	  6.1	  4.3
  122	  4.7	  6.2	  4.4
  123	  4.8	  6.3	  4.4
  124	  4.9	  6.4	  4.5
  125	  5.0	  6.5	  4.6
  126	  5.0	  6.6	  4.7
  127	  5.1	  6.7	  4.7
  128	  5.2	  6.8	  4.8
  129	  5.3	  6.9	  4.9
  130	  5.4	  7.1	  4.9
  131	  5.4	  7.2	  5.0
  132	  5.5	  7.3	  5.1
  133	  5.6	  7.4	  5.2
  134	  5.7	  7.5	  5.3
  135	  5.8	  7.6	  5.3
  136	  5.9	  7.7	  5.4
  137	  6.0	  7.8	  5.5
  138	  6.0	  8.0	  5.6
  139	  6.1	  8.1	  5.6
  140	  6.2	  8.2	  5.7
  141	  6.3	  8.3	  5.8
  142	  6.4	  8.4	  5.9
  143	  6.5	  8.5	  6.0
  144	  6.6	  8.7	  6.1
  145	  6.7	  8.8	  6.2
  146	  6.8	  8.9	  6.3
  147	  6.9	  9.0	  6.4
  148	  6.9	  9.1	  6.5
  149	  7.0	  9.2	  6.6
  150	  7.1	  9.4	  6.7
  151	  7.2	  9.5	  6.8
  152	  7.3	  9.6	  6.9
  153	  7.4	  9.7	  7.0
  154	  7.5	  9.8	  7.1
  155	  7.6	 10.0	  7.2
  156	  7.7	 10.1	  7.3
  157	  7.8	 10.2	  7.4
  158	  7.9	 10.4	  7.5
  159	  8.0	 10.5	  7.6
  160	  8.1	 10.6	  7.7
