step	 averageRoadPrice	 maxPrice	 variation
0	1.0	1.0	0.0
1	1.0	1.0	0.0
2	0.0	1.0	0.0
3	0.0	0.0	0.0
4	0.0	0.0	0.0
5	0.0	2.5	0.0
6	0.0	0.0	0.0
7	0.0	0.0	0.0
8	0.0	5.0999999999999694	0.19900743804199783
9	0.0	1.0	0.19900743804199783
10	0.0	5.100000000000058	0.23335690592856784
11	0.0	1.0	0.9698422858413324
12	0.0	3.3000000000002316	0.27250215731728483
13	1.0	21.500000000000334	0.26326209505561055
14	0.0	13.400000000000432	0.27250215731728483
15	0.0	1.0	0.27250215731728483
16	0.0	1.0	0.27250215731728483
17	2.0	75.19999999999995	1.1191404056349465
18	0.0	39.99999999999939	0.3066910594402681
19	0.0	46.49999999999879	0.3066910594402681
20	1.0	99.79999999999815	0.9465936847245475
21	1.0	81.89999999999752	0.322428900751164
22	0.0	38.49999999999676	0.3300165012376031
23	0.0	1.0	0.3300165012376031
24	0.0	1.0	0.3300165012376031
25	0.0	1.0	0.3300165012376031
26	0.0	1.0	0.3300165012376031
27	5.0	188.89999999999316	5.6211763681964095
28	3.0	185.39999999999262	3.225248474578337
29	2.0	217.69999999999146	4.740227048912564
30	0.0	1.0	0.35179877236514595
31	5.0	243.49999999999022	8.616019503180725
32	3.0	212.29999999999228	4.125494269816865
33	1.0	132.0999999999961	0.9360756506620479
34	1.0	140.5999999999969	0.358765761029573
35	1.0	112.0	0.9334276237142713
36	1.0	120.0	0.37230882528639936
37	0.0	1.0	0.9281089045009003
38	1.0	132.0	0.9334276237142713
39	0.0	1.0	0.358765761029573
40	0.0	1.0	0.9334276237142713
41	0.0	1.0	0.35179877236514595
42	0.0	1.0	0.35179877236514595
43	0.0	1.0	0.9334276237142713
44	3.0	284.0	2.9035655786131183
45	3.0	216.0	2.1606288046962554
46	0.0	1.0	0.3656000086660744
47	0.0	1.0	0.9307720632159983
48	0.0	1.0	0.3656000086660744
49	0.0	1.0	0.3656000086660744
50	4.0	238.0	3.8723441873044413
51	0.0	1.0	0.9254380819721849
52	1.0	236.0	0.9281089045009003
53	0.0	130.0	0.37889887362678126
54	0.0	1.0	0.37889887362678126
55	0.0	124.0	0.37230882528639936
56	0.0	1.0	0.37230882528639936
57	0.0	48.0	0.3656000086660744
58	0.0	42.0	0.37889887362678126
59	0.0	1.0	0.37889887362678126
60	0.0	1.0	0.37889887362678126
61	0.0	33.0	0.37889887362678126
62	1.0	84.0	0.37889887362678126
63	0.0	1.0	0.37889887362678126
64	0.0	1.0	0.37889887362678126
65	4.0	270.0	3.858897395488884
66	0.0	1.0	0.39801487608399566
67	0.0	116.0	0.39801487608399566
68	0.0	1.0	0.39801487608399566
69	0.0	1.0	0.39801487608399566
70	2.0	228.0	1.220696116935329
71	0.0	1.0	0.9146768081493794
72	0.0	1.0	0.4041860173653504
73	0.0	1.0	0.4041860173653504
74	0.0	1.0	0.4041860173653504
75	0.0	1.0	0.39801487608399566
76	0.0	1.0	0.39801487608399566
77	0.0	1.0	0.39801487608399566
78	0.0	1.0	0.39801487608399566
79	0.0	1.0	0.39801487608399566
80	0.0	94.0	0.39801487608399566
81	0.0	1.0	0.39801487608399566
82	1.0	112.0	0.41026434366535963
83	5.0	244.0	4.185074848213413
84	0.0	100.0	0.39801487608399566
85	4.0	294.0	3.179451350640407
86	0.0	88.0	0.39801487608399566
87	0.0	148.0	0.39801487608399566
88	0.0	1.0	0.39801487608399566
89	0.0	52.0	0.385376246654031
90	2.0	288.0	1.8853263498780668
91	0.0	52.0	0.385376246654031
92	1.0	60.0	0.39801487608399566
93	0.0	1.0	0.39801487608399566
94	0.0	1.0	0.9146768081493794
95	5.0	258.0	4.846147801589576
96	0.0	1.0	0.4041860173653504
97	1.0	156.0	0.4041860173653504
98	0.0	1.0	0.9146768081493794
99	1.0	44.0	0.41625392098174074
100	2.0	228.0	1.8655288847407268
101	0.0	1.0	0.4279816781495245
102	0.0	28.0	0.4279816781495245
103	0.0	1.0	0.4279816781495245
104	0.0	1.0	0.4279816781495245
105	0.0	1.0	0.4279816781495245
106	1.0	200.0	0.4279816781495245
107	4.0	276.0	3.2334881389228034
108	0.0	8.0	0.4449941594899848
109	0.0	1.0	0.4449941594899848
110	0.0	1.0	0.4449941594899848
111	0.0	1.0	0.4449941594899848
112	0.0	1.0	0.4337266557190002
113	0.0	36.0	0.4337266557190002
114	0.0	1.0	0.901044498412155
115	0.0	1.0	0.901044498412155
116	0.0	152.0	0.4041860173653504
117	0.0	10.0	0.41026434366535963
118	0.0	1.0	0.41026434366535963
119	6.0	268.0	5.208047846961242
120	0.0	1.0	0.8982932110782686
121	0.0	1.0	0.4559833243433447
122	0.0	1.0	0.4667138118571357
123	0.0	1.0	0.4667138118571357
124	1.0	172.0	0.8899883189799696
125	0.0	1.0	0.8899883189799696
126	0.0	1.0	0.8899883189799696
127	0.0	1.0	0.8899883189799696
128	0.0	1.0	0.4559833243433447
129	0.0	1.0	0.8872027462036438
130	0.0	1.0	0.8955334711889903
131	5.0	232.0	4.2116058412885975
132	0.0	1.0	0.43939652585187
133	0.0	1.0	0.8982932110782686
134	0.0	1.0	0.43939652585187
135	0.0	1.0	0.8955334711889903
136	0.0	1.0	0.4449941594899848
137	1.0	156.0	0.4559833243433447
138	0.0	1.0	0.8899883189799696
139	3.0	232.0	2.2613848381331767
140	0.0	138.0	0.47720307236775805
141	0.0	1.0	0.47720307236775805
142	0.0	1.0	0.47720307236775805
143	3.0	288.0	2.8038163525120297
144	0.0	1.0	0.47720307236775805
145	0.0	1.0	0.87879305170374
146	0.0	74.0	0.47720307236775805
147	0.0	1.0	0.87879305170374
148	1.0	146.0	0.4667138118571357
149	0.0	1.0	0.4667138118571357
150	0.0	128.0	0.47198758164566446
151	0.0	1.0	0.4613797645418716
152	0.0	1.0	0.8872027462036438
153	1.0	172.0	0.4613797645418716
154	0.0	1.0	0.4613797645418716
155	1.0	128.0	0.4613797645418716
156	0.0	1.0	0.4559833243433447
157	0.0	1.0	0.8899883189799696
158	0.0	1.0	0.8899883189799696
159	1.0	184.0	0.4559833243433447
160	0.0	1.0	0.4559833243433447
161	0.0	1.0	0.4559833243433447
162	0.0	1.0	0.8872027462036438
163	0.0	1.0	0.87879305170374
164	0.0	1.0	0.4874666782214325
165	1.0	140.0	0.4975185951049946
166	1.0	80.0	0.4874666782214325
167	0.0	1.0	0.8816051966568013
168	1.0	178.0	0.8872027462036438
169	1.0	154.0	0.8899883189799696
170	0.0	1.0	0.8899883189799696
171	0.0	1.0	0.8927652003580209
172	1.0	48.0	0.4559833243433447
173	0.0	30.0	0.8955334711889903
174	1.0	202.0	0.8844083999045815
175	1.0	136.0	0.8759718789283519
176	0.0	1.0	0.8759718789283519
177	1.0	104.0	0.4823621744361105
178	1.0	170.0	0.47198758164566446
179	0.0	1.0	0.8816051966568013
180	0.0	1.0	0.47198758164566446
181	0.0	1.0	0.47720307236775805
182	0.0	1.0	0.47198758164566446
183	0.0	1.0	0.8816051966568013
184	0.0	1.0	0.47198758164566446
185	0.0	1.0	0.8816051966568013
186	1.0	122.0	0.4559833243433447
