step	 five	 six	 seven	 eight	 nine
0	0	0	0	0	0
1	0	0	0	0	0
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
5	0	0	0	0	0
6	0	0	0	0	0
7	0	0	0	0	0
8	0	0	0	0	0
9	0	0	0	0	0
10	0	0	0	0	0
11	0	0	0	0	0
12	0	0	0	0	0
13	0	0	0	0	0
14	0	0	0	0	0
15	0	0	0	0	0
16	0	0	0	0	0
17	0	0	0	0	0
18	0	0	0	0	0
19	0	0	0	0	0
20	0	0	0	0	0
21	0	0	0	0	0
22	0	0	0	0	0
23	0	0	0	0	0
24	0	0	0	0	0
25	0	0	0	0	0
26	0	0	0	0	0
27	0	0	0	0	0
28	0	0	0	0	0
29	0	0	0	0	0
30	0	0	0	0	0
31	0	0	0	0	0
32	0	0	0	0	0
33	0	0	0	0	0
34	0	0	0	0	0
35	0	0	0	0	0
36	0	0	0	0	0
37	0	0	0	0	0
38	0	0	0	0	0
39	0	0	0	0	0
40	0	0	0	0	0
41	0	0	0	0	0
42	0	0	0	0	0
43	0	0	0	0	0
44	0	0	0	0	0
45	0	0	0	0	0
46	0	0	0	0	0
47	0	0	0	0	0
48	0	0	0	0	0
49	0	0	0	0	0
50	0	0	0	0	0
51	0	0	0	0	0
52	0	0	0	0	0
53	0	0	0	0	0
54	0	0	0	0	0
55	0	0	0	0	0
56	0	0	0	0	0
57	0	0	0	0	0
58	0	0	0	0	0
59	0	0	0	0	0
60	0	0	0	0	0
61	0	0	0	0	0
62	0	0	0	0	0
63	0	0	0	0	0
64	0	0	0	0	0
65	0	0	0	0	0
66	0	0	0	0	0
67	0	0	0	0	0
68	0	0	0	0	0
69	0	0	0	0	0
70	0	0	0	0	0
71	0	0	0	0	0
72	0	0	0	0	0
73	0	0	0	0	0
74	0	0	0	0	0
75	0	0	0	0	0
76	0	0	0	0	0
77	0	0	0	0	0
78	0	0	0	0	0
79	0	0	0	0	0
80	0	0	0	0	0
81	0	0	0	0	0
82	0	0	0	0	0
83	0	0	0	0	0
84	0	0	0	0	0
85	0	0	0	0	0
86	0	0	0	0	0
87	0	0	0	0	0
88	0	0	0	0	0
89	0	0	0	0	0
90	0	0	0	0	0
91	0	0	0	0	0
92	0	0	0	0	0
93	0	0	0	0	0
94	0	0	0	0	0
95	0	0	0	0	0
96	0	0	0	0	0
97	0	0	0	0	0
98	0	0	0	0	0
99	0	0	0	0	0
100	0	0	0	0	0
101	0	0	0	0	0
102	0	0	0	0	0
103	0	0	0	0	0
104	0	0	0	0	0
105	0	0	0	0	0
106	0	0	0	0	0
107	0	0	0	0	0
108	0	0	0	0	0
109	0	0	0	0	0
110	0	0	0	0	0
111	0	0	0	0	0
112	0	0	0	0	0
113	0	0	0	0	0
114	0	0	0	0	0
115	0	0	0	0	0
116	0	0	0	0	0
117	0	0	0	0	0
118	0	0	0	0	0
119	0	0	0	0	0
120	0	0	0	0	0
121	0	0	0	0	0
122	0	0	0	0	0
123	0	0	0	0	0
124	0	0	0	0	0
125	0	0	0	0	0
126	0	0	0	0	0
127	0	0	0	0	0
128	0	0	0	0	0
129	0	0	0	0	0
130	0	0	0	0	0
131	0	0	0	0	0
132	0	0	0	0	0
133	0	0	0	0	0
134	0	0	0	0	0
135	0	0	0	0	0
136	0	0	0	0	0
137	0	0	0	0	0
138	0	0	0	0	0
139	0	0	0	0	0
140	0	0	0	0	0
141	0	0	0	0	0
142	0	0	0	0	0
143	0	0	0	0	0
144	0	0	0	0	0
145	0	0	0	0	0
146	0	0	0	0	0
147	0	0	0	0	0
148	0	0	0	0	0
149	0	0	0	0	0
150	0	0	0	0	0
151	0	0	0	0	1
152	0	0	0	0	1
153	0	0	0	0	1
154	0	0	0	0	1
155	0	0	0	0	1
156	0	0	0	0	1
157	0	0	0	0	1
158	0	0	0	0	1
159	0	0	0	0	1
160	0	0	0	0	1
161	0	0	0	0	1
162	0	0	0	0	1
163	0	0	0	0	1
164	0	0	0	0	1
165	0	0	0	0	1
166	0	0	0	0	1
167	0	0	0	0	1
168	0	0	0	0	1
169	0	0	0	0	1
170	0	0	0	0	1
171	0	0	0	0	1
172	0	0	0	0	1
173	0	0	0	0	1
174	0	0	0	0	1
175	0	0	0	0	1
176	0	0	0	0	1
177	0	0	0	0	1
178	0	0	0	0	1
179	0	0	0	0	1
180	0	0	0	0	1
181	0	0	0	0	1
182	0	0	0	0	1
183	0	0	0	0	1
184	0	0	0	0	1
185	0	0	0	0	1
186	0	0	0	0	1
187	0	0	0	0	1
188	0	0	0	0	1
189	0	0	0	0	1
190	0	0	0	0	1
191	0	0	0	0	1
192	0	0	0	0	1
193	0	0	0	0	1
194	0	0	0	0	1
195	0	0	0	0	1
196	0	0	0	0	1
197	0	0	0	0	1
198	0	0	0	0	1
199	0	0	0	0	1
200	0	0	0	0	1
201	0	0	0	0	1
202	0	0	0	0	1
203	0	0	0	0	1
204	0	0	0	0	1
205	0	0	0	0	1
206	0	0	0	0	1
207	0	0	0	0	1
208	0	0	0	0	1
209	0	0	0	0	1
210	0	0	0	0	1
211	0	0	0	0	1
212	0	0	0	0	1
213	0	0	0	0	1
214	0	0	0	0	1
215	0	0	0	0	1
216	0	0	0	0	1
217	0	0	0	0	1
218	0	0	0	0	1
219	0	0	0	0	1
220	0	0	0	0	1
221	0	0	0	0	1
222	0	0	0	0	1
223	0	0	0	0	1
224	0	0	0	0	1
225	0	0	0	0	1
226	0	0	0	0	1
227	0	0	0	0	1
228	0	0	0	0	1
229	0	0	0	0	1
230	0	0	0	0	1
231	0	0	0	0	1
232	0	0	0	0	1
233	0	0	0	0	1
234	0	0	0	0	2
235	0	0	0	0	2
236	0	0	0	0	2
237	0	0	0	0	2
238	0	0	0	0	2
239	0	0	0	0	2
240	0	0	0	0	2
241	0	0	0	0	2
242	0	0	0	0	2
243	0	0	0	0	2
244	0	0	0	0	2
245	0	0	0	0	2
246	0	0	0	0	2
247	0	0	0	0	2
248	0	0	0	0	2
249	0	0	0	0	2
250	0	0	0	0	2
251	0	0	0	0	2
252	0	0	0	0	2
253	0	0	0	0	2
254	0	0	0	0	2
255	0	0	0	0	2
256	0	0	0	0	2
257	0	0	0	0	2
258	0	0	0	0	2
259	0	0	0	0	2
260	0	0	0	0	2
261	0	0	0	0	2
262	0	0	0	0	2
263	0	0	0	0	2
264	0	0	0	0	2
265	0	0	0	0	2
266	0	0	0	0	2
267	0	0	0	0	2
268	0	0	0	0	2
269	0	0	0	0	2
270	0	0	0	0	2
271	0	0	0	0	2
272	0	0	0	0	2
273	0	0	0	0	2
274	0	0	0	0	2
275	0	0	0	0	2
276	0	0	0	0	2
277	0	0	0	0	2
278	0	0	0	0	2
279	0	0	0	0	2
280	0	0	0	0	2
281	0	0	0	0	2
282	0	0	0	0	2
283	0	0	0	0	2
284	0	0	0	0	2
285	0	0	0	0	2
286	0	0	0	0	2
287	0	0	0	0	2
288	0	0	0	0	2
289	0	0	0	0	2
290	0	0	0	0	2
291	0	0	0	0	2
292	0	0	0	0	2
293	0	0	0	0	2
294	0	0	0	0	2
295	0	0	0	0	2
296	0	0	0	0	2
297	0	0	0	0	2
298	0	0	0	0	2
299	0	0	0	0	2
300	0	0	0	0	2
301	0	0	0	0	2
302	0	0	0	0	2
303	0	0	0	0	2
304	0	0	0	0	2
305	0	0	0	0	2
306	0	0	0	0	2
307	0	0	0	0	2
308	0	0	0	0	2
309	0	0	0	0	2
310	0	0	0	0	2
311	0	0	0	0	2
312	0	0	0	0	2
313	0	0	0	0	2
314	0	0	0	0	2
315	0	0	0	0	2
316	0	0	0	0	2
317	0	0	0	0	2
318	0	0	0	0	2
319	0	0	0	0	2
320	0	0	0	0	2
321	0	0	0	0	2
322	0	0	0	0	2
323	0	0	0	0	2
324	0	0	0	0	2
325	0	0	0	0	3
326	0	0	0	0	3
327	0	0	0	0	3
328	0	0	0	0	3
329	0	0	0	0	3
330	0	0	0	0	3
331	0	0	0	0	3
332	0	0	0	0	3
333	0	0	0	0	3
334	0	0	0	0	3
335	0	0	0	0	3
336	0	0	0	0	3
337	0	0	0	1	3
338	0	0	0	1	3
339	0	0	0	1	3
340	0	0	0	1	3
341	0	0	0	1	3
342	0	0	0	1	3
343	0	0	0	1	3
344	0	0	0	1	3
345	0	0	0	1	3
346	0	0	0	1	3
347	0	0	0	1	3
348	0	0	0	1	3
349	0	0	0	1	3
350	0	0	0	1	3
351	0	0	0	1	3
352	0	0	0	1	3
353	0	0	0	1	3
354	0	0	0	1	3
355	0	0	0	1	3
356	0	0	0	1	3
357	0	0	0	1	3
358	0	0	0	1	3
359	0	0	0	1	3
360	0	0	0	1	3
361	0	0	0	1	3
362	0	0	0	1	3
363	0	0	0	1	3
364	0	0	0	1	3
365	0	0	0	1	3
366	0	0	0	1	3
367	0	0	0	1	3
368	0	0	0	1	3
369	0	0	0	1	3
370	0	0	0	1	3
371	0	0	0	1	3
372	0	0	0	1	3
373	0	0	0	1	3
374	0	0	0	1	3
375	0	0	0	1	3
376	0	0	0	1	3
377	0	0	0	1	3
378	0	0	0	1	3
379	0	0	0	1	3
